UNITID,NPT41_PUB,NPT41_PRIV,NPT41_PROG,NPT41_OTHER,COSTT4_A,COSTT4_P,UGDS
211477,NULL,16562,NULL,NULL,24548,NULL,1277
211556,NULL,14028,NULL,NULL,44591,NULL,616
211583,NULL,19341,NULL,NULL,42663,NULL,1510
211608,13125,NULL,NULL,NULL,21605,NULL,1178
211617,NULL,21088,NULL,NULL,NULL,24929,718
211635,NULL,NULL,NULL,NULL,NULL,NULL,181
211644,12933,NULL,NULL,NULL,20478,NULL,5046
211750,NULL,4641,NULL,NULL,NULL,12240,109
211802,NULL,NULL,NULL,NULL,NULL,NULL,231
211820,NULL,10624,NULL,NULL,NULL,20185,107
211893,NULL,370,NULL,NULL,16803,NULL,122
211909,NULL,19886,NULL,NULL,24396,NULL,163
211927,8265,NULL,NULL,NULL,10914,NULL,13198
211981,NULL,21327,NULL,NULL,44778,NULL,1774
212009,NULL,15278,NULL,NULL,58149,NULL,2352
212018,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212045,NULL,25942,NULL,NULL,31385,NULL,271
212054,NULL,24908,NULL,NULL,53831,NULL,16257
212072,NULL,15897,NULL,NULL,19227,NULL,122
212090,NULL,17799,NULL,NULL,23298,NULL,600
212106,NULL,19166,NULL,NULL,42280,NULL,5944
212115,12036,NULL,NULL,NULL,20282,NULL,6109
212133,NULL,19245,NULL,NULL,39764,NULL,2458
212160,12161,NULL,NULL,NULL,19886,NULL,5756
212197,NULL,18683,NULL,NULL,47390,NULL,1808
212212,NULL,12174,NULL,NULL,NULL,17215,39
212230,NULL,13305,NULL,NULL,NULL,18065,31
212267,NULL,13525,NULL,NULL,NULL,18383,135
212276,NULL,12783,NULL,NULL,NULL,17636,112
212285,NULL,12942,NULL,NULL,NULL,18026,46
212294,NULL,12012,NULL,NULL,NULL,17146,50
212300,NULL,12017,NULL,NULL,NULL,16864,57
212328,NULL,13885,NULL,NULL,NULL,18367,142
212337,NULL,13670,NULL,NULL,NULL,18320,169
212355,NULL,13065,NULL,NULL,NULL,17709,182
212373,NULL,13392,NULL,NULL,NULL,17541,74
212382,NULL,13546,NULL,NULL,NULL,17995,164
212391,NULL,14084,NULL,NULL,NULL,18708,104
212425,NULL,8413,NULL,NULL,14885,NULL,208
212434,NULL,14812,NULL,NULL,22890,NULL,216
212443,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212452,NULL,NULL,NULL,NULL,NULL,NULL,236
212568,NULL,15659,NULL,NULL,20712,NULL,208
212577,NULL,10475,NULL,NULL,58518,NULL,2262
212601,NULL,16522,NULL,NULL,37572,NULL,2697
212656,NULL,24103,NULL,NULL,34818,NULL,1532
212674,NULL,12102,NULL,NULL,55770,NULL,2520
212683,NULL,12644,NULL,NULL,NULL,17389,90
212708,NULL,14259,NULL,NULL,NULL,18914,141
212753,NULL,14249,NULL,NULL,NULL,18811,211
212771,NULL,NULL,NULL,NULL,NULL,NULL,9
212832,NULL,19772,NULL,NULL,39051,NULL,2031
212869,NULL,21145,NULL,NULL,33543,NULL,1603
212878,9212,NULL,NULL,NULL,14041,NULL,13321
212911,NULL,5685,NULL,NULL,59654,NULL,1187
212975,NULL,25203,NULL,NULL,30930,NULL,206
212984,NULL,11503,NULL,NULL,31949,NULL,2018
212993,NULL,18539,NULL,NULL,20583,NULL,86
213002,NULL,17418,NULL,NULL,NULL,22907,557
213011,NULL,23398,NULL,NULL,45011,NULL,2452
213020,14707,NULL,NULL,NULL,22936,NULL,12405
213163,NULL,NULL,NULL,NULL,NULL,NULL,71
213181,NULL,11020,NULL,NULL,NULL,15814,453
213215,NULL,13011,NULL,NULL,NULL,17137,193
213233,NULL,16793,NULL,NULL,23767,NULL,427
213251,NULL,15902,NULL,NULL,47269,NULL,1503
213303,NULL,12065,NULL,NULL,31012,NULL,1550
213312,NULL,24870,NULL,NULL,28583,NULL,223
213321,NULL,19304,NULL,NULL,41453,NULL,1987
213330,NULL,17497,NULL,NULL,NULL,20755,19
213349,14850,NULL,NULL,NULL,23130,NULL,8538
213358,NULL,13490,NULL,NULL,35493,NULL,1344
213367,NULL,22355,NULL,NULL,47134,NULL,4228
213376,NULL,13223,NULL,NULL,20649,NULL,1313
213385,NULL,9747,NULL,NULL,57688,NULL,2452
213400,NULL,16066,NULL,NULL,27372,NULL,1212
213446,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213455,NULL,12118,NULL,NULL,NULL,15234,195
213473,NULL,16014,NULL,NULL,20877,NULL,382
213491,NULL,10807,NULL,NULL,NULL,14655,68
213507,NULL,19952,NULL,NULL,46169,NULL,1698
213525,3881,NULL,NULL,NULL,8729,NULL,5986
213534,NULL,15358,NULL,NULL,21759,NULL,976
213543,NULL,16142,NULL,NULL,55441,NULL,4904
213552,NULL,13435,NULL,NULL,NULL,17567,84
213570,NULL,18673,NULL,NULL,NULL,23262,568
213589,NULL,14300,NULL,NULL,NULL,19641,273
213598,13141,NULL,NULL,NULL,22497,NULL,1614
213613,10624,NULL,NULL,NULL,19145,NULL,4783
213622,NULL,NULL,NULL,NULL,NULL,NULL,184
213631,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213640,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213659,4746,NULL,NULL,NULL,9879,NULL,6070
213668,NULL,15998,NULL,NULL,44256,NULL,1288
213686,NULL,5714,NULL,NULL,11909,NULL,78
213774,NULL,18108,NULL,NULL,23119,NULL,816
213783,13597,NULL,NULL,NULL,21432,NULL,2640
213826,NULL,19018,NULL,NULL,41657,NULL,2034
213914,NULL,11114,NULL,NULL,20387,NULL,385
213932,NULL,NULL,NULL,NULL,NULL,NULL,124
213987,NULL,14875,NULL,NULL,42367,NULL,2679
213996,NULL,20214,NULL,NULL,41341,NULL,2739
214023,NULL,25711,NULL,NULL,33375,NULL,96
214041,13434,NULL,NULL,NULL,21756,NULL,7313
214069,NULL,19924,NULL,NULL,38504,NULL,2362
214111,6501,NULL,NULL,NULL,11472,NULL,11680
214148,NULL,27421,NULL,NULL,47675,NULL,437
214157,NULL,17176,NULL,NULL,45863,NULL,1508
214166,NULL,17218,NULL,NULL,30884,NULL,1571
214175,NULL,14567,NULL,NULL,53637,NULL,2357
214254,NULL,22097,NULL,NULL,NULL,26486,749
214272,NULL,20317,NULL,NULL,37314,NULL,2462
214290,NULL,9457,NULL,NULL,NULL,13487,856
214379,4529,NULL,NULL,NULL,10525,NULL,10114
214476,NULL,11129,NULL,NULL,16629,NULL,75
214528,NULL,14990,NULL,NULL,NULL,21058,548
214546,NULL,14178,NULL,NULL,NULL,19665,53
214564,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214582,NULL,13441,NULL,NULL,16794,NULL,743
214591,16838,NULL,NULL,NULL,27759,NULL,3797
214607,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214616,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214625,10513,NULL,NULL,NULL,20315,NULL,615
214634,12670,NULL,NULL,NULL,21867,NULL,490
214643,10214,NULL,NULL,NULL,20301,NULL,534
214652,11295,NULL,NULL,NULL,20183,NULL,1089
214670,9559,NULL,NULL,NULL,19456,NULL,788
214689,18193,NULL,NULL,NULL,27591,NULL,3779
214698,12691,NULL,NULL,NULL,22942,NULL,636
214704,15966,NULL,NULL,NULL,25931,NULL,2573
214713,16046,NULL,NULL,NULL,26651,NULL,3461
214731,9539,NULL,NULL,NULL,19297,NULL,1327
214740,11609,NULL,NULL,NULL,21299,NULL,591
214759,10125,NULL,NULL,NULL,19753,NULL,762
214768,15531,NULL,NULL,NULL,25745,NULL,918
214777,19268,NULL,NULL,NULL,31625,NULL,39460
214786,13846,NULL,NULL,NULL,24415,NULL,588
214795,16423,NULL,NULL,NULL,25553,NULL,911
214801,9633,NULL,NULL,NULL,19611,NULL,3231
214810,13899,NULL,NULL,NULL,24227,NULL,796
214829,11360,NULL,NULL,NULL,19761,NULL,943
214838,NULL,8393,NULL,NULL,14409,NULL,65
214883,NULL,14717,NULL,NULL,19700,NULL,1754
214892,NULL,26052,NULL,NULL,28652,NULL,346
214944,NULL,14953,NULL,NULL,NULL,20241,551
214962,NULL,11780,NULL,NULL,NULL,16840,56
214971,NULL,23414,NULL,NULL,43656,NULL,198
215008,NULL,17470,NULL,NULL,NULL,24273,75
215026,NULL,43603,NULL,NULL,NULL,45982,6
215044,NULL,15065,NULL,NULL,NULL,18065,112
215053,NULL,20967,NULL,NULL,28860,NULL,222
215062,NULL,3847,NULL,NULL,59600,NULL,10606
215099,NULL,19424,NULL,NULL,46451,NULL,2791
215105,NULL,29211,NULL,NULL,52401,NULL,1865
215114,NULL,17070,NULL,NULL,32509,NULL,840
215123,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215132,NULL,24241,NULL,NULL,49327,NULL,1830
215239,6401,NULL,NULL,NULL,11539,NULL,18204
215266,13450,NULL,NULL,NULL,23732,NULL,1456
215275,13471,NULL,NULL,NULL,23343,NULL,1677
215284,14018,NULL,NULL,NULL,23709,NULL,2837
215293,20132,NULL,NULL,NULL,30410,NULL,18304
215309,13775,NULL,NULL,NULL,22596,NULL,363
215336,NULL,17719,NULL,NULL,NULL,20904,49
215381,NULL,21065,NULL,NULL,26732,NULL,354
215390,NULL,15239,NULL,NULL,NULL,18912,232
215415,NULL,19188,NULL,NULL,27593,NULL,1841
215424,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215433,NULL,38670,NULL,NULL,40651,NULL,315
215442,NULL,20216,NULL,NULL,36726,NULL,3164
215479,NULL,NULL,NULL,NULL,NULL,NULL,64
215530,NULL,6275,NULL,NULL,NULL,10979,29
215585,9104,NULL,NULL,NULL,14208,NULL,4028
215594,NULL,15356,NULL,NULL,21912,NULL,367
215619,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215628,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215637,NULL,31180,NULL,NULL,34280,NULL,427
215646,NULL,19870,NULL,NULL,NULL,24158,510
215655,NULL,17901,NULL,NULL,38274,NULL,4459
215682,NULL,21758,NULL,NULL,26481,NULL,684
215691,NULL,23745,NULL,NULL,45067,NULL,511
215743,NULL,18150,NULL,NULL,42492,NULL,1665
215770,NULL,27628,NULL,NULL,52779,NULL,5265
215798,NULL,14361,NULL,NULL,41591,NULL,1532
215813,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215886,10505,NULL,NULL,NULL,NULL,15427,86
215929,NULL,23063,NULL,NULL,51962,NULL,3834
215947,NULL,18396,NULL,NULL,40497,NULL,1550
215974,NULL,24502,NULL,NULL,29814,NULL,346
215983,NULL,NULL,NULL,NULL,NULL,NULL,35
215992,NULL,6567,NULL,NULL,12977,NULL,285
216010,12369,NULL,NULL,NULL,20840,NULL,6493
216038,12489,NULL,NULL,NULL,21303,NULL,7544
216047,NULL,NULL,NULL,NULL,36410,NULL,53
216074,NULL,17476,NULL,NULL,NULL,19371,92
216083,NULL,16867,NULL,NULL,26582,NULL,662
216162,NULL,NULL,NULL,NULL,NULL,NULL,139
216223,NULL,12733,NULL,NULL,NULL,18601,44
216278,NULL,15685,NULL,NULL,49025,NULL,2138
216287,NULL,10832,NULL,NULL,58481,NULL,1524
216296,1948,NULL,NULL,NULL,13650,NULL,883
216311,NULL,9024,NULL,NULL,17900,NULL,124
216339,16759,NULL,NULL,NULL,27247,NULL,27511
216357,NULL,22438,NULL,NULL,39573,NULL,1045
216366,NULL,NULL,NULL,NULL,NULL,NULL,664
216418,NULL,19676,NULL,NULL,26097,NULL,851
216427,NULL,19175,NULL,NULL,26420,NULL,74
216436,NULL,18196,NULL,NULL,25506,NULL,251
216445,NULL,13125,NULL,NULL,21659,NULL,171
216454,NULL,14961,NULL,NULL,25457,NULL,184
216463,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216524,NULL,17751,NULL,NULL,57163,NULL,1578
216542,NULL,20268,NULL,NULL,29736,NULL,767
216551,NULL,31066,NULL,NULL,43500,NULL,268
216579,NULL,16575,NULL,NULL,NULL,20165,112
216597,NULL,20259,NULL,NULL,56265,NULL,6856
216630,NULL,20186,NULL,NULL,24119,NULL,76
216649,NULL,NULL,NULL,NULL,NULL,NULL,25
216667,NULL,20398,NULL,NULL,49507,NULL,1300
216694,NULL,13414,NULL,NULL,28822,NULL,1559
216746,NULL,11728,NULL,NULL,NULL,16301,88
216764,16581,NULL,NULL,NULL,24997,NULL,13456
216773,NULL,8403,NULL,NULL,17603,NULL,95
216782,NULL,14122,NULL,NULL,20044,NULL,438
216807,NULL,16913,NULL,NULL,42474,NULL,1313
216816,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216825,3400,NULL,NULL,NULL,6230,NULL,5471
216852,NULL,24147,NULL,NULL,50294,NULL,3188
216931,NULL,20022,NULL,NULL,42612,NULL,2281
217013,NULL,21648,NULL,NULL,39818,NULL,468
217040,NULL,NULL,NULL,NULL,13975,NULL,52
217059,NULL,17098,NULL,NULL,27266,NULL,4847
217077,NULL,7464,NULL,NULL,NULL,12524,2027
217086,NULL,17742,NULL,NULL,23415,NULL,122
217095,NULL,13736,NULL,NULL,NULL,18504,135
217156,NULL,5234,NULL,NULL,58140,NULL,6182
217165,NULL,26524,NULL,NULL,50858,NULL,3263
217235,NULL,22311,NULL,NULL,40136,NULL,9067
217244,NULL,NULL,NULL,NULL,NULL,NULL,125
217305,NULL,24080,NULL,NULL,30656,NULL,2860
217323,NULL,10555,NULL,NULL,NULL,12754,157
217350,NULL,NULL,NULL,NULL,NULL,NULL,36
217402,NULL,20605,NULL,NULL,56184,NULL,3969
217420,6016,NULL,NULL,NULL,14858,NULL,7253
217475,4883,NULL,NULL,NULL,10617,NULL,16856
217484,11660,NULL,NULL,NULL,26262,NULL,13008
217493,NULL,32629,NULL,NULL,59597,NULL,2005
217518,NULL,23994,NULL,NULL,48476,NULL,4403
217536,NULL,24849,NULL,NULL,48219,NULL,1989
217572,NULL,19807,NULL,NULL,23520,NULL,122
217581,NULL,13227,NULL,NULL,NULL,17265,88
217606,NULL,19471,NULL,NULL,23281,NULL,358
217615,5315,NULL,NULL,NULL,10179,NULL,2490
217624,NULL,13283,NULL,NULL,21447,NULL,651
217633,NULL,15131,NULL,NULL,35340,NULL,2381
217688,NULL,14462,NULL,NULL,33245,NULL,2904
217712,3793,NULL,NULL,NULL,9742,NULL,2262
217721,NULL,16993,NULL,NULL,30534,NULL,2512
217749,NULL,14240,NULL,NULL,25781,NULL,2755
217776,NULL,16767,NULL,NULL,31054,NULL,1314
217794,NULL,12337,NULL,NULL,NULL,17115,106
217819,11439,NULL,NULL,NULL,25086,NULL,10150
217828,NULL,12568,NULL,NULL,NULL,16848,59
217837,7703,NULL,NULL,NULL,13226,NULL,1022
217864,11114,NULL,NULL,NULL,24827,NULL,2660
217873,NULL,16896,NULL,NULL,29849,NULL,1803
217882,7815,NULL,NULL,NULL,27944,NULL,16801
217891,NULL,5715,NULL,NULL,11215,NULL,185
217907,NULL,15889,NULL,NULL,32029,NULL,1131
217925,NULL,13830,NULL,NULL,28141,NULL,574
217934,NULL,15117,NULL,NULL,37599,NULL,995
217961,NULL,16974,NULL,NULL,39748,NULL,744
217989,6527,NULL,NULL,NULL,11709,NULL,1804
217998,NULL,14775,NULL,NULL,45198,NULL,574
218025,5540,NULL,NULL,NULL,11747,NULL,5913
218043,NULL,17643,NULL,NULL,22865,NULL,135
218061,10478,NULL,NULL,NULL,19965,NULL,3380
218070,NULL,13167,NULL,NULL,55434,NULL,2777
218113,8238,NULL,NULL,NULL,13716,NULL,12087
218140,6799,NULL,NULL,NULL,12890,NULL,7002
218159,NULL,12450,NULL,NULL,NULL,17750,85
218195,NULL,15829,NULL,NULL,NULL,21127,83
218229,11285,NULL,NULL,NULL,21628,NULL,2750
218238,NULL,20332,NULL,NULL,34658,NULL,3150
218265,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218335,NULL,NULL,NULL,NULL,NULL,NULL,205
218353,5585,NULL,NULL,NULL,11399,NULL,11214
218399,NULL,12566,NULL,NULL,20419,NULL,822
218414,NULL,18405,NULL,NULL,37837,NULL,1032
218441,NULL,13639,NULL,NULL,28373,NULL,2068
218487,6664,NULL,NULL,NULL,12312,NULL,2399
218520,7380,NULL,NULL,NULL,13076,NULL,5399
218539,NULL,12256,NULL,NULL,45130,NULL,1069
218645,8893,NULL,NULL,NULL,18466,NULL,2956
218654,11086,NULL,NULL,NULL,19354,NULL,1716
218663,10048,NULL,NULL,NULL,23685,NULL,23987
218672,8193,NULL,NULL,NULL,16937,NULL,1053
218681,12744,NULL,NULL,NULL,19403,NULL,773
218690,6356,NULL,NULL,NULL,16781,NULL,672
218706,9803,NULL,NULL,NULL,17501,NULL,285
218724,12197,NULL,NULL,NULL,21601,NULL,8570
218733,17125,NULL,NULL,NULL,25265,NULL,2876
218742,10656,NULL,NULL,NULL,20848,NULL,4952
218751,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218821,NULL,10077,NULL,NULL,25085,NULL,813
218830,4652,NULL,NULL,NULL,12676,NULL,5034
218858,7909,NULL,NULL,NULL,13550,NULL,4014
218867,NULL,7123,NULL,NULL,NULL,12973,28
218885,8881,NULL,NULL,NULL,16086,NULL,5830
218894,6101,NULL,NULL,NULL,12239,NULL,15747
218919,NULL,15353,NULL,NULL,24486,NULL,536
218955,9748,NULL,NULL,NULL,14439,NULL,713
218964,13018,NULL,NULL,NULL,24595,NULL,4704
218973,NULL,24441,NULL,NULL,47856,NULL,1610
218991,6652,NULL,NULL,NULL,13006,NULL,4821
219000,NULL,13828,NULL,NULL,36828,NULL,1615
219037,NULL,7479,NULL,NULL,NULL,11458,112
219046,10478,NULL,NULL,NULL,15906,NULL,3156
219055,NULL,23349,NULL,NULL,24803,NULL,213
219082,10734,NULL,NULL,NULL,17201,NULL,1743
219091,NULL,12626,NULL,NULL,31596,NULL,754
219125,NULL,10008,NULL,NULL,NULL,14582,81
219143,10431,NULL,NULL,NULL,15109,NULL,1533
219170,NULL,NULL,NULL,NULL,NULL,NULL,20
219189,8808,NULL,NULL,NULL,14263,NULL,1136
219198,NULL,27751,NULL,NULL,33103,NULL,676
219204,NULL,16947,NULL,NULL,21387,NULL,1913
219213,NULL,18660,NULL,NULL,21551,NULL,658
219240,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219259,11371,NULL,NULL,NULL,17334,NULL,1758
219277,3704,NULL,NULL,NULL,8996,NULL,1450
219295,NULL,17225,NULL,NULL,26676,NULL,728
219338,NULL,NULL,NULL,NULL,NULL,NULL,18
219347,12403,NULL,NULL,NULL,20234,NULL,2194
219356,12199,NULL,NULL,NULL,18547,NULL,10048
219374,NULL,14935,NULL,NULL,20101,NULL,550
219383,NULL,15872,NULL,NULL,33909,NULL,1075
219392,NULL,NULL,NULL,NULL,NULL,NULL,24
219408,7097,NULL,NULL,NULL,10346,NULL,189
219426,11134,NULL,NULL,NULL,15085,NULL,2405
219453,NULL,7758,NULL,NULL,NULL,11033,142
219471,12172,NULL,NULL,NULL,18843,NULL,6449
219480,9623,NULL,NULL,NULL,14726,NULL,1004
219505,NULL,23753,NULL,NULL,26086,NULL,141
219578,NULL,26799,NULL,NULL,31324,NULL,486
219587,NULL,11121,NULL,NULL,NULL,18874,72
219596,4399,NULL,NULL,NULL,NULL,12173,202
219602,13508,NULL,NULL,NULL,18852,NULL,9271
219639,NULL,6313,NULL,NULL,19745,NULL,1101
219709,NULL,23423,NULL,NULL,41450,NULL,5465
219718,NULL,17998,NULL,NULL,26864,NULL,5063
219790,NULL,10968,NULL,NULL,29489,NULL,1209
219806,NULL,11809,NULL,NULL,32446,NULL,1688
219824,7605,NULL,NULL,NULL,13039,NULL,8224
219833,NULL,6032,NULL,NULL,34413,NULL,1156
219842,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219879,4557,NULL,NULL,NULL,10764,NULL,2978
219888,5023,NULL,NULL,NULL,11572,NULL,4317
219903,NULL,19072,NULL,NULL,NULL,24355,1313
219921,6008,NULL,NULL,NULL,NULL,12744,203
219949,NULL,14833,NULL,NULL,33402,NULL,1198
219976,NULL,17931,NULL,NULL,37181,NULL,2874
219994,9161,NULL,NULL,NULL,NULL,13159,481
220002,NULL,25020,NULL,NULL,28539,NULL,141
220057,8793,NULL,NULL,NULL,14428,NULL,2362
220075,12766,NULL,NULL,NULL,22485,NULL,11399
220118,NULL,19566,NULL,NULL,24954,NULL,220
220127,7278,NULL,NULL,NULL,NULL,13687,521
220136,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220163,NULL,14527,NULL,NULL,NULL,16490,71
220181,NULL,20058,NULL,NULL,38893,NULL,611
220206,NULL,16724,NULL,NULL,25413,NULL,270
220215,NULL,16510,NULL,NULL,32814,NULL,1290
220251,6988,NULL,NULL,NULL,NULL,14538,250
220279,6166,NULL,NULL,NULL,NULL,10844,269
220312,NULL,14055,NULL,NULL,27295,NULL,222
220321,8967,NULL,NULL,NULL,NULL,15673,363
220394,6403,NULL,NULL,NULL,NULL,14007,246
220400,8504,NULL,NULL,NULL,14503,NULL,3413
220464,NULL,12599,NULL,NULL,19114,NULL,122
220473,NULL,10333,NULL,NULL,19898,NULL,826
220491,NULL,13785,NULL,NULL,NULL,18973,168
220516,NULL,12426,NULL,NULL,36533,NULL,2121
220552,NULL,27905,NULL,NULL,34415,NULL,708
220570,NULL,4982,NULL,NULL,NULL,9600,40
220598,NULL,10596,NULL,NULL,17406,NULL,1554
220604,NULL,12000,NULL,NULL,16427,NULL,1009
220613,NULL,11297,NULL,NULL,23554,NULL,4143
220631,NULL,7094,NULL,NULL,31241,NULL,1632
220640,4904,NULL,NULL,NULL,NULL,9608,319
220701,NULL,13945,NULL,NULL,31701,NULL,1144
220710,NULL,10644,NULL,NULL,41481,NULL,1139
220756,9495,NULL,NULL,NULL,NULL,13202,168
220765,NULL,9823,NULL,NULL,NULL,14778,518
220792,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220808,NULL,15491,NULL,NULL,37855,NULL,367
220853,5330,NULL,NULL,NULL,NULL,11895,817
220862,9352,NULL,NULL,NULL,20899,NULL,16178
220871,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220941,NULL,19710,NULL,NULL,23179,NULL,2456
220978,6233,NULL,NULL,NULL,17501,NULL,20914
220996,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221014,NULL,9776,NULL,NULL,36252,NULL,933
221050,7210,NULL,NULL,NULL,NULL,13972,638
221096,6320,NULL,NULL,NULL,12466,NULL,3901
221102,9411,NULL,NULL,NULL,NULL,13774,335
221148,NULL,13543,NULL,NULL,NULL,18541,1856
221157,NULL,22202,NULL,NULL,NULL,25932,164
221184,5750,NULL,NULL,NULL,11144,NULL,8349
221236,6756,NULL,NULL,NULL,NULL,15014,240
221254,NULL,20839,NULL,NULL,35632,NULL,179
221281,6833,NULL,NULL,NULL,NULL,13131,271
221290,NULL,13016,NULL,NULL,NULL,16688,137
221333,9168,NULL,NULL,NULL,NULL,13271,200
221351,NULL,17008,NULL,NULL,50659,NULL,2012
221388,6169,NULL,NULL,NULL,NULL,12537,126
221397,6610,NULL,NULL,NULL,13454,NULL,4952
221430,4616,NULL,NULL,NULL,NULL,10896,210
221485,4811,NULL,NULL,NULL,9956,NULL,10217
221494,5242,NULL,NULL,NULL,NULL,8801,436
221519,NULL,7397,NULL,NULL,46530,NULL,1599
221582,6121,NULL,NULL,NULL,NULL,9586,322
221591,7780,NULL,NULL,NULL,NULL,15655,270
221607,9244,NULL,NULL,NULL,NULL,12815,188
221616,7144,NULL,NULL,NULL,NULL,14921,425
221625,5270,NULL,NULL,NULL,NULL,12199,760
221634,12035,NULL,NULL,NULL,NULL,19775,184
221643,7682,NULL,NULL,NULL,13678,NULL,8776
221661,NULL,13057,NULL,NULL,29085,NULL,2693
221670,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221731,NULL,9838,NULL,NULL,28119,NULL,1068
221740,6654,NULL,NULL,NULL,19192,NULL,10184
221759,7908,NULL,NULL,NULL,24746,NULL,20948
221768,4279,NULL,NULL,NULL,16227,NULL,6554
221795,NULL,25238,NULL,NULL,29878,NULL,180
221829,NULL,9970,NULL,NULL,NULL,14873,173
221838,8719,NULL,NULL,NULL,16903,NULL,6669
221847,7873,NULL,NULL,NULL,19900,NULL,9827
221856,NULL,14563,NULL,NULL,23217,NULL,704
221892,NULL,14529,NULL,NULL,30820,NULL,1448
221908,6004,NULL,NULL,NULL,11771,NULL,5052
221953,NULL,17415,NULL,NULL,32783,NULL,1844
221971,NULL,18354,NULL,NULL,40415,NULL,2565
221980,NULL,8695,NULL,NULL,NULL,14245,124
221999,NULL,7411,NULL,NULL,59890,NULL,6794
222026,NULL,10089,NULL,NULL,NULL,13268,59
222053,7859,NULL,NULL,NULL,13933,NULL,6415
222062,3364,NULL,NULL,NULL,9931,NULL,4789
222099,NULL,12536,NULL,NULL,NULL,16740,212
222105,NULL,11227,NULL,NULL,13738,NULL,219
222178,NULL,20836,NULL,NULL,39811,NULL,3647
222567,6638,NULL,NULL,NULL,11617,NULL,4227
222576,5234,NULL,NULL,NULL,10206,NULL,10009
222673,NULL,31249,NULL,NULL,NULL,35448,81
222707,NULL,21046,NULL,NULL,NULL,23130,23
222822,5372,NULL,NULL,NULL,10274,NULL,4203
222831,9452,NULL,NULL,NULL,19511,NULL,5430
222877,NULL,11262,NULL,NULL,16405,NULL,230
222886,NULL,20163,NULL,NULL,NULL,24783,235
222938,NULL,25389,NULL,NULL,30536,NULL,2300
222983,NULL,17558,NULL,NULL,45800,NULL,1206
222992,7933,NULL,NULL,NULL,13622,NULL,32715
223001,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223056,NULL,6891,NULL,NULL,NULL,12441,76
223083,NULL,NULL,NULL,NULL,NULL,NULL,444
223117,NULL,NULL,NULL,NULL,NULL,NULL,55
223214,NULL,NULL,NULL,NULL,NULL,NULL,243
223223,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223232,NULL,26425,NULL,NULL,51086,NULL,13221
223320,5286,NULL,NULL,NULL,10646,NULL,2284
223427,11430,NULL,NULL,NULL,13458,NULL,16664
223463,NULL,22581,NULL,NULL,27742,NULL,904
223472,NULL,13517,NULL,NULL,18534,NULL,196
223506,2893,NULL,NULL,NULL,9026,NULL,3217
223524,6357,NULL,NULL,NULL,11714,NULL,10365
223658,NULL,27636,NULL,NULL,NULL,31270,165
223667,NULL,26892,NULL,NULL,NULL,31401,10
223773,5695,NULL,NULL,NULL,10583,NULL,5833
223816,3813,NULL,NULL,NULL,9477,NULL,16076
223852,NULL,14049,NULL,NULL,NULL,18747,19
223898,7124,NULL,NULL,NULL,12321,NULL,3496
223922,7963,NULL,NULL,NULL,11314,NULL,1214
224004,NULL,20982,NULL,NULL,37394,NULL,1493
224013,NULL,5458,NULL,NULL,NULL,9901,51
224110,3955,NULL,NULL,NULL,9734,NULL,10141
224147,12645,NULL,NULL,NULL,17782,NULL,9137
224156,NULL,19117,NULL,NULL,NULL,22118,215
224183,NULL,21427,NULL,NULL,26868,NULL,183
224226,NULL,17806,NULL,NULL,32489,NULL,3375
224244,NULL,16994,NULL,NULL,24499,NULL,316
224271,NULL,16781,NULL,NULL,20182,NULL,114
224305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224323,NULL,19807,NULL,NULL,47437,NULL,1374
224350,4380,NULL,NULL,NULL,10405,NULL,10502
224439,NULL,22154,NULL,NULL,27557,NULL,529
224527,NULL,16298,NULL,NULL,30172,NULL,1132
224545,6682,NULL,NULL,NULL,14147,NULL,1391
224554,8229,NULL,NULL,NULL,18487,NULL,6951
224572,6696,NULL,NULL,NULL,11702,NULL,12113
224615,5906,NULL,NULL,NULL,10902,NULL,8854
224642,3177,NULL,NULL,NULL,9466,NULL,29390
